date,DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA30,GPRD_MA7,event,var_name,var_label
1985-01-01,19850101,216,230.0394287109375,275.1976013183594,153.02798461914062,230.0394287109375,230.0394287109375,,DAY,DAY
1985-01-02,19850102,315,115.67697143554688,146.77206420898438,87.44457244873047,172.8582000732422,172.8582000732422,,N10D,"Number of articles (10 recent newspapers, 1985-)"
1985-01-03,19850103,374,97.42845916748047,158.93765258789062,29.45993423461914,147.71495056152344,147.71495056152344,,GPRD,Daily GPR (Index: 1985:2019=100)
1985-01-04,19850104,421,157.36663818359375,156.8822479248047,157.02635192871094,150.12786865234375,150.12786865234375,,GPRD_ACT,Daily GPR Acts (Index: 1985:2019=100)
1985-01-05,19850105,285,81.36131286621094,92.6981430053711,77.31940460205078,136.3745574951172,136.3745574951172,,GPRD_THREAT,Daily GPR Threats (Index: 1985:2019=100)
1985-01-06,19850106,396,167.3013916015625,166.7864227294922,208.67453002929688,141.52903747558594,141.52903747558594,,date,Date
1985-01-07,19850107,346,105.3128433227539,57.26655197143555,143.29788208007812,136.35528564453125,136.35528564453125,,GPRD_MA30,30 day moving average of Daily GPR
1985-01-08,19850108,379,87.40283966064453,34.85352325439453,130.8207550048828,130.23623657226562,115.9786376953125,,GPRD_MA7,7 day moving average of Daily GPR
1985-01-09,19850109,382,121.40300750732422,103.73941040039062,129.79336547851562,129.2547607421875,116.79663848876953,,event,Major event label
1985-01-10,19850110,424,140.62786865234375,77.88611602783203,181.9011993408203,130.39207458496094,122.96798706054688,,,
1985-01-11,19850111,454,94.85326385498047,130.93101501464844,72.80626678466797,127.1612777709961,114.03750610351562,,,
1985-01-12,19850112,312,95.55484008789062,42.33809280395508,123.59953308105469,124.52740478515625,116.06514739990234,,,
1985-01-13,19850113,397,91.78398895263672,16.63663101196289,138.76593017578125,122.00868225097656,105.27694702148438,,,
1985-01-14,19850114,360,211.6362762451172,183.46507263183594,229.5419921875,128.41064453125,120.46601104736328,,,
1985-01-15,19850115,375,97.16864776611328,105.67588806152344,102.83480834960938,126.32785034179688,121.86112976074219,,,
1985-01-16,19850116,405,106.32933807373047,114.15604400634766,95.21741485595703,125.07794189453125,119.70774841308594,,,
1985-01-17,19850117,424,54.68861770629883,62.308895111083984,38.97882843017578,120.93739318847656,107.43070983886719,,,
1985-01-18,19850118,417,111.21331024169922,63.3548469543457,132.11048889160156,120.39717102050781,109.76786041259766,,,
1985-01-19,19850119,321,51.59762954711914,41.15104293823242,68.6480712890625,116.77613830566406,103.4882583618164,,,
1985-01-20,19850120,383,77.84101867675781,68.97903442382812,86.30298614501953,114.82938385009766,101.49640655517578,,,
1985-01-21,19850121,359,138.4081268310547,183.9761199951172,76.72712707519531,115.95217895507812,91.03524017333984,,,
1985-01-22,19850122,320,51.75886917114258,61.919464111328125,34.431297302246094,113.0343017578125,84.54812622070312,,,
1985-01-23,19850123,398,124.84551239013672,82.97415161132812,138.4172821044922,113.54783630371094,87.19329833984375,,,
1985-01-24,19850124,396,83.65069580078125,50.03593063354492,97.3814468383789,112.3021240234375,91.33073425292969,,,
1985-01-25,19850125,472,70.1815185546875,13.993098258972168,105.04463195800781,110.61729431152344,85.46905517578125,,,
1985-01-26,19850126,306,54.12692642211914,43.168251037597656,72.01317596435547,108.44458770751953,85.83038330078125,,,
1985-01-27,19850127,416,63.70322799682617,47.63035583496094,66.21403503417969,106.78750610351562,83.81069946289062,,,
1985-01-28,19850128,359,101.4992904663086,36.795223236083984,138.10882568359375,106.59864044189453,78.53800964355469,,,
1985-01-29,19850129,345,76.81316375732422,114.86508178710938,47.90441131591797,105.5715560913086,82.1171875,,,
1985-01-30,19850130,410,16.15886688232422,0.0,26.873207092285156,102.59113311767578,66.59053039550781,,,
1985-01-31,19850131,416,111.48065185546875,111.13750457763672,119.18526458740234,98.63916778564453,70.56623840332031,,,
1985-02-01,19850201,435,106.61137390136719,106.28321075439453,88.65069580078125,98.33698272705078,75.77050018310547,,,
1985-02-02,19850202,333,119.37181091308594,99.1703109741211,132.34854125976562,99.06842803955078,85.09120178222656,,,
1985-02-03,19850203,443,112.1636962890625,104.36388397216797,124.35682678222656,97.56166076660156,92.01412200927734,,,
1985-02-04,19850204,371,80.3587875366211,89.01270294189453,89.0944595336914,97.52824401855469,88.99404907226562,,,
1985-02-05,19850205,322,174.88711547851562,123.06974029541016,239.52207946777344,97.7811050415039,103.0046157836914,,,
1985-02-06,19850206,400,124.2212905883789,49.53556823730469,165.2702178955078,98.41138458251953,118.44210052490234,,,
1985-02-07,19850207,430,130.9619903564453,76.79933166503906,153.73974609375,99.86335754394531,121.22515106201172,,,
1985-02-08,19850208,448,147.8824920654297,103.19910430908203,172.156494140625,100.74600982666016,127.12102508544922,,,
1985-02-09,19850209,321,123.83430480957031,144.02865600585938,120.13411712646484,100.18621826171875,127.7585220336914,,,
1985-02-10,19850210,445,133.9915008544922,89.0527114868164,185.69688415527344,101.49082946777344,130.8767852783203,,,
1985-02-11,19850211,357,139.1835174560547,111.00408172607422,154.31393432617188,102.94512176513672,139.2803192138672,,,
1985-02-12,19850212,366,153.86244201660156,126.3202133178711,150.5193328857422,105.01439666748047,136.27679443359375,,,
1985-02-13,19850213,423,109.63581848144531,140.52642822265625,78.14195251464844,101.61438751220703,134.19314575195312,,,
1985-02-14,19850214,413,80.20745086669922,63.96845245361328,80.03401184082031,101.04901123046875,126.9425048828125,,,
1985-02-15,19850215,434,83.9590835571289,60.87320327758789,88.8549575805664,100.30333709716797,117.81058502197266,,,
1985-02-16,19850216,315,63.09653091430664,62.902313232421875,52.466739654541016,100.58360290527344,109.1337661743164,,,
1985-02-17,19850217,388,68.30036163330078,51.067596435546875,70.99236297607422,99.15316772460938,99.74931335449219,,,
1985-02-18,19850218,283,128.75704956054688,163.36819458007812,77.86582946777344,101.72515106201172,98.25981903076172,,,
1985-02-19,19850219,364,100.10506439208984,72.57958984375,136.21173095703125,102.46728515625,90.58019256591797,,,
1985-02-20,19850220,359,64.5904541015625,36.795223236083984,92.07255554199219,100.00669860839844,84.1451416015625,,,
1985-02-21,19850221,387,85.59606170654297,102.39910888671875,56.94064712524414,101.13460540771484,84.91494750976562,,,
1985-02-22,19850222,441,157.74131774902344,104.83718872070312,174.88914489746094,102.23112487792969,95.45526123046875,,,
1985-02-23,19850223,314,200.44200134277344,126.20527648925781,228.07994079589844,106.1241683959961,115.07604217529297,,,
1985-02-24,19850224,434,91.59173583984375,76.09150695800781,114.24209594726562,106.83784484863281,118.40338134765625,,,
1985-02-25,19850225,397,100.12799072265625,99.81978607177734,97.13615417480469,108.3712158203125,114.31351470947266,,,
1985-02-26,19850226,344,125.18424224853516,115.19900512695312,112.10189819335938,110.42058563232422,117.89625549316406,,,
1985-02-27,19850227,439,120.73139953613281,75.22486114501953,150.58790588378906,111.06165313720703,125.91638946533203,,,
1985-02-28,19850228,412,144.7238311767578,144.2783660888672,133.71377563476562,113.3253402709961,134.36322021484375,,,
1985-03-01,19850301,452,146.57379150390625,131.51036071777344,134.0687713623047,117.6725082397461,132.76785278320312,,,
1985-03-02,19850302,288,149.52561950683594,68.79940032958984,191.2849884033203,118.940673828125,125.49408721923828,,,
1985-03-03,19850303,426,77.75981140136719,15.504091262817383,116.38748168945312,117.97895050048828,123.51809692382812,,,
1985-03-04,19850304,401,82.60767364501953,115.29475402832031,68.69086456298828,116.75347900390625,121.01519775390625,,,
1985-03-05,19850305,386,137.30850219726562,102.66439056396484,171.2644805908203,117.59164428710938,122.74723052978516,,,
1985-03-06,19850306,407,179.05772399902344,178.50656127929688,148.89210510253906,120.88160705566406,131.07955932617188,,,
1985-03-07,19850307,425,132.50270080566406,108.78399658203125,129.62371826171875,119.46878814697266,129.3336944580078,,,
1985-03-08,19850308,433,91.80326080322266,106.77412414550781,63.61440658569336,118.38819122314453,121.50933074951172,,,
1985-03-09,19850309,294,90.13789367675781,67.39533233642578,112.42872619628906,117.02738952636719,113.0253677368164,,,
1985-03-10,19850310,444,119.37181091308594,104.12882232666016,124.07674407958984,116.07703399658203,118.96994018554688,,,
1985-03-11,19850311,383,129.7350311279297,155.2028350830078,115.0706558227539,116.27371978759766,125.7024154663086,,,
1985-03-12,19850312,384,232.9149169921875,343.99700927734375,143.46372985839844,119.5711669921875,139.3604736328125,,,
1985-03-13,19850313,434,183.1834716796875,228.27450561523438,177.7099151611328,121.03783416748047,139.9498748779297,,,
1985-03-14,19850314,448,177.458984375,221.14093017578125,122.96892547607422,121.82438659667969,146.3721923828125,,,
1985-03-15,19850315,431,138.34390258789062,76.62114715576172,191.7288055419922,122.78131866455078,153.02085876464844,,,
1985-03-16,19850316,306,194.85691833496094,107.92063903808594,252.04611206054688,126.60297393798828,167.980712890625,,,
1985-03-17,19850317,466,42.651084899902344,28.346534729003906,47.287620544433594,125.22603607177734,157.02061462402344,,,
1985-03-18,19850318,373,124.33229064941406,123.9495849609375,132.9251251220703,127.26722717285156,156.24879455566406,,,
1985-03-19,19850319,381,139.11045837402344,138.6822509765625,144.59336853027344,129.6275634765625,142.84815979003906,,,
