Date,data
2025-10-22 00:00:00-04:00,24.345998764038086
2025-10-23 00:00:00-04:00,24.34114646911621
2025-10-24 00:00:00-04:00,24.365398406982422
2025-10-27 00:00:00-04:00,24.370248794555664
2025-10-28 00:00:00-04:00,24.370248794555664
2025-10-29 00:00:00-04:00,24.365398406982422
2025-10-30 00:00:00-04:00,24.379945755004883
2025-10-31 00:00:00-04:00,24.404197692871094
2025-11-03 00:00:00-05:00,24.404197692871094
2025-11-04 00:00:00-05:00,24.409048080444336
2025-11-05 00:00:00-05:00,24.423595428466797
2025-11-06 00:00:00-05:00,24.418745040893555
2025-11-07 00:00:00-05:00,24.423595428466797
2025-11-10 00:00:00-05:00,24.442995071411133
2025-11-11 00:00:00-05:00,24.438142776489258
2025-11-12 00:00:00-05:00,24.45269203186035
2025-11-13 00:00:00-05:00,24.457544326782227
2025-11-14 00:00:00-05:00,24.46239471435547
2025-11-17 00:00:00-05:00,24.476943969726562
2025-11-18 00:00:00-05:00,24.472091674804688
2025-11-19 00:00:00-05:00,24.476943969726562
2025-11-20 00:00:00-05:00,24.418745040893555
2025-11-21 00:00:00-05:00,24.447845458984375
2025-11-24 00:00:00-05:00,24.442995071411133
2025-11-25 00:00:00-05:00,24.447845458984375
2025-11-26 00:00:00-05:00,24.467247009277344
2025-11-28 00:00:00-05:00,24.486642837524414
2025-12-01 00:00:00-05:00,24.50226402282715
2025-12-02 00:00:00-05:00,24.49250030517578
2025-12-03 00:00:00-05:00,24.51202964782715
2025-12-04 00:00:00-05:00,24.51691246032715
2025-12-05 00:00:00-05:00,24.51691246032715
2025-12-08 00:00:00-05:00,24.521791458129883
2025-12-09 00:00:00-05:00,24.531557083129883
2025-12-10 00:00:00-05:00,24.521791458129883
2025-12-11 00:00:00-05:00,24.521791458129883
2025-12-12 00:00:00-05:00,24.560848236083984
2025-12-15 00:00:00-05:00,24.556941986083984
2025-12-16 00:00:00-05:00,24.551084518432617
2025-12-17 00:00:00-05:00,24.555967330932617
2025-12-18 00:00:00-05:00,24.58525848388672
2025-12-19 00:00:00-05:00,24.604785919189453
2025-12-22 00:00:00-05:00,24.604785919189453
2025-12-23 00:00:00-05:00,24.645084381103516
2025-12-24 00:00:00-05:00,24.66473960876465
2025-12-26 00:00:00-05:00,24.669654846191406
2025-12-29 00:00:00-05:00,24.66473960876465
2025-12-30 00:00:00-05:00,24.67456817626953
2025-12-31 00:00:00-05:00,24.684396743774414
2026-01-02 00:00:00-05:00,24.684396743774414
2026-01-05 00:00:00-05:00,24.684396743774414
2026-01-06 00:00:00-05:00,24.713882446289062
2026-01-07 00:00:00-05:00,24.68931007385254
2026-01-08 00:00:00-05:00,24.733539581298828
2026-01-09 00:00:00-05:00,24.733539581298828
2026-01-12 00:00:00-05:00,24.74336814880371
2026-01-13 00:00:00-05:00,24.777767181396484
2026-01-14 00:00:00-05:00,24.763025283813477
2026-01-15 00:00:00-05:00,24.763025283813477
2026-01-16 00:00:00-05:00,24.807254791259766
2026-01-20 00:00:00-05:00,24.81216812133789
2026-01-21 00:00:00-05:00,24.85639762878418
2026-01-22 00:00:00-05:00,24.851482391357422
2026-01-23 00:00:00-05:00,24.861310958862305
2026-01-26 00:00:00-05:00,24.858362197875977
2026-01-27 00:00:00-05:00,24.871139526367188
2026-01-28 00:00:00-05:00,24.880970001220703
