,Date,GPR,d_GPR
0,1985-01-04,157.36663818359375,
1,1985-01-11,94.85326385498047,-62.51337432861328
2,1985-01-18,111.21331024169922,16.36004638671875
3,1985-01-25,70.1815185546875,-41.03179168701172
4,1985-02-01,106.61137390136719,36.42985534667969
5,1985-02-08,147.8824920654297,41.2711181640625
6,1985-02-15,83.9590835571289,-63.92340850830078
7,1985-02-22,157.74131774902344,73.78223419189453
8,1985-03-01,146.57379150390625,-11.167526245117188
9,1985-03-08,91.80326080322266,-54.770530700683594
10,1985-03-15,138.34390258789062,46.54064178466797
11,1985-03-22,102.77656555175781,-35.56733703613281
12,1985-03-29,86.9967269897461,-15.779838562011719
13,1985-04-05,95.55484008789062,8.558113098144531
14,1985-04-12,81.25166320800781,-14.303176879882812
15,1985-04-19,37.08098220825195,-44.17068099975586
16,1985-04-26,53.620697021484375,16.539714813232422
17,1985-05-03,106.85701751708984,53.23632049560547
18,1985-05-10,87.50179290771484,-19.355224609375
19,1985-05-17,142.40945434570312,54.90766143798828
20,1985-05-24,92.93777465820312,-49.4716796875
21,1985-05-31,107.0601806640625,14.122406005859375
22,1985-06-07,114.4586410522461,7.398460388183594
23,1985-06-14,112.62730407714844,-1.8313369750976562
24,1985-06-21,213.7140350341797,101.08673095703125
25,1985-06-28,198.24246215820312,-15.471572875976562
26,1985-07-05,139.3902130126953,-58.85224914550781
27,1985-07-12,174.68618774414062,35.29597473144531
28,1985-07-19,104.26968383789062,-70.41650390625
29,1985-07-26,82.40218353271484,-21.86750030517578
30,1985-08-02,75.09599304199219,-7.306190490722656
31,1985-08-09,95.78508758544922,20.68909454345703
32,1985-08-16,59.28532791137695,-36.499759674072266
33,1985-08-23,72.01234436035156,12.72701644897461
34,1985-08-30,65.11189270019531,-6.90045166015625
35,1985-09-06,89.34310913085938,24.231216430664062
36,1985-09-13,103.30252838134766,13.959419250488281
37,1985-09-20,104.38764190673828,1.085113525390625
38,1985-09-27,144.02468872070312,39.637046813964844
