,Date,MOVE,d_MOVE
0,2016-04-15,66.48999786376953,
1,2016-04-22,67.77999877929688,1.2900009155273438
2,2016-04-29,64.91999816894531,-2.8600006103515625
3,2016-05-06,65.1500015258789,0.23000335693359375
4,2016-05-13,64.06999969482422,-1.0800018310546875
5,2016-05-20,68.51000213623047,4.44000244140625
6,2016-05-27,66.76000213623047,-1.75
7,2016-06-03,67.58999633789062,0.8299942016601562
8,2016-06-10,75.0999984741211,7.510002136230469
9,2016-06-17,82.58000183105469,7.480003356933594
10,2016-06-24,77.94000244140625,-4.6399993896484375
11,2016-07-01,74.3499984741211,-3.5900039672851562
12,2016-07-08,72.30999755859375,-2.0400009155273438
13,2016-07-15,74.7699966430664,2.4599990844726562
14,2016-07-22,69.91000366210938,-4.859992980957031
15,2016-07-29,64.1500015258789,-5.760002136230469
16,2016-08-05,66.58999633789062,2.4399948120117188
17,2016-08-12,64.37000274658203,-2.2199935913085938
18,2016-08-19,64.81999969482422,0.4499969482421875
19,2016-08-26,71.23999786376953,6.4199981689453125
20,2016-09-02,66.45999908447266,-4.779998779296875
21,2016-09-09,69.12000274658203,2.660003662109375
22,2016-09-16,69.20999908447266,0.089996337890625
23,2016-09-23,59.75,-9.459999084472656
24,2016-09-30,60.560001373291016,0.8100013732910156
25,2016-10-07,62.84000015258789,2.279998779296875
26,2016-10-14,64.9800033569336,2.140003204345703
27,2016-10-21,57.09000015258789,-7.890003204345703
28,2016-10-28,64.37999725341797,7.289997100830078
29,2016-11-04,74.61000061035156,10.230003356933594
30,2016-11-11,82.56999969482422,7.959999084472656
31,2016-11-18,81.6500015258789,-0.9199981689453125
32,2016-11-25,79.69000244140625,-1.9599990844726562
33,2016-12-02,82.05999755859375,2.3699951171875
34,2016-12-09,75.55000305175781,-6.5099945068359375
35,2016-12-16,78.22000122070312,2.6699981689453125
36,2016-12-23,72.56999969482422,-5.650001525878906
37,2016-12-30,71.62999725341797,-0.94000244140625
38,2017-01-06,75.23999786376953,3.6100006103515625
39,2017-01-13,74.5,-0.7399978637695312
40,2017-01-20,76.70999908447266,2.2099990844726562
41,2017-01-27,72.19000244140625,-4.519996643066406
42,2017-02-03,67.38999938964844,-4.8000030517578125
43,2017-02-10,69.62999725341797,2.2399978637695312
44,2017-02-17,69.77999877929688,0.15000152587890625
45,2017-02-24,69.8499984741211,0.06999969482421875
46,2017-03-03,65.79000091552734,-4.05999755859375
47,2017-03-10,67.69999694824219,1.9099960327148438
48,2017-03-17,60.720001220703125,-6.9799957275390625
49,2017-03-24,64.44999694824219,3.7299957275390625
50,2017-03-31,60.70000076293945,-3.7499961853027344
51,2017-04-07,68.66000366210938,7.960002899169922
52,2017-04-14,74.4800033569336,5.819999694824219
53,2017-04-21,77.1500015258789,2.6699981689453125
